Symbol
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
ICICIBANK.NS
HINDUNILVR.NS
ITC.NS
LT.NS
SBIN.NS
KOTAKBANK.NS
BHARTIARTL.NS
AXISBANK.NS
BAJFINANCE.NS
HCLTECH.NS
ASIANPAINT.NS
MARUTI.NS
SUNPHARMA.NS
TECHM.NS
NESTLEIND.NS
ULTRACEMCO.NS
TITAN.NS
POWERGRID.NS
NTPC.NS
JSWSTEEL.NS
WIPRO.NS
DIVISLAB.NS
COALINDIA.NS
GRASIM.NS
ADANIENT.NS
ADANIPORTS.NS
BRITANNIA.NS
HEROMOTOCO.NS
CIPLA.NS
HDFCLIFE.NS
SBILIFE.NS
BPCL.NS
DRREDDY.NS
EICHERMOT.NS
BAJAJ-AUTO.NS
BAJAJFINSV.NS
INDUSINDBK.NS
IOC.NS
SHREECEM.NS
TATASTEEL.NS
UPL.NS
M&M.NS
ONGC.NS
HINDALCO.NS
TATAMOTORS.NS
VEDL.NS
